OutputName,OutputType,OutputTier,basic_resource_list,basic_resource_quantity_list,max_daily_production,resource_list_length
Energy Beam XXXS T1,SHIP_WEAPONS,1,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Quartz Crystals', 'Silica', 'Iron Ore']","[920.0, 322.0, 260.0, 300.0, 324.0, 60.0, 60.0, 120.0]",3204.637821482602,8.0
Faraday Shielding XXXS T1,COUNTERMEASURES,1,"['Copper Ore', 'Silver Ore', 'Carbon', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Zinc Ore', 'Tin Ore', 'Hydrogen', 'Nitrogen', 'Silica']","[420.0, 480.0, 360.0, 180.0, 60.0, 240.0, 120.0, 120.0, 120.0, 120.0, 120.0]",2884.1740393343416,11.0
Faraday Shielding XXS T1,COUNTERMEASURES,1,"['Copper Ore', 'Silver Ore', 'Carbon', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Zinc Ore', 'Tin Ore', 'Hydrogen', 'Nitrogen', 'Silica']","[420.0, 480.0, 360.0, 180.0, 60.0, 240.0, 120.0, 120.0, 120.0, 120.0, 120.0]",2884.1740393343416,11.0
Decoy XXS T1,COUNTERMEASURES,1,"['Diamond', 'Hydrogen', 'Copper Ore', 'Carbon', 'Quantum Computational Substrate', 'Living Metal Symbionts', 'Biolumite', 'Jasphorus Crystals', 'Quantum Particle', 'Abyssal Energy Crystals', 'Quartz Crystals', 'Silica', 'Lumanite', 'Fluorine Gas', 'Silicon Crystal', 'Germanium', 'Neural Coral Compounds', 'Raw Chisenic']","[408.0, 440.0, 432.0, 676.0, 280.0, 1360.0, 360.0, 360.0, 1000.0, 280.0, 170.0, 170.0, 320.0, 75.0, 3000.0, 3000.0, 9000.0, 9000.0]",2544.859446471478,18.0
Decoy XXXS T1,COUNTERMEASURES,1,"['Diamond', 'Hydrogen', 'Copper Ore', 'Carbon', 'Quantum Computational Substrate', 'Living Metal Symbionts', 'Biolumite', 'Jasphorus Crystals', 'Quantum Particle', 'Abyssal Energy Crystals', 'Quartz Crystals', 'Silica', 'Lumanite', 'Fluorine Gas', 'Silicon Crystal', 'Germanium', 'Neural Coral Compounds', 'Raw Chisenic']","[408.0, 440.0, 432.0, 638.0, 280.0, 1360.0, 360.0, 360.0, 1000.0, 280.0, 170.0, 170.0, 301.0, 75.0, 3000.0, 3000.0, 9000.0, 9000.0]",2544.859446471478,18.0
Negative Rem Plating XXXS T1,COUNTERMEASURES,1,"['Carbon', 'Hydrogen', 'Nitrogen', 'Silica']","[1590.0, 690.0, 648.0, 648.0]",2394.875702337796,4.0
Negative Rem Plating XXS T1,COUNTERMEASURES,1,"['Carbon', 'Hydrogen', 'Nitrogen', 'Silica']","[1590.0, 690.0, 648.0, 648.0]",2394.875702337796,4.0
Energy Rapidfire XXXS T1,SHIP_WEAPONS,1,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Tantalum Ore', 'Silicon Crystal']","[854.0, 397.0, 200.0, 724.0, 366.0, 268.0, 54.0]",2390.6657249605078,7.0
Energy Burst XXXS T1,SHIP_WEAPONS,1,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Neodymium', 'Iron Ore', 'Tantalum Ore', 'Silicon Crystal']","[800.0, 262.0, 280.0, 720.0, 204.0, 160.0, 320.0, 160.0, 80.0]",2163.55248108926,9.0
Energy Cannon XXS T1,SHIP_WEAPONS,1,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Zinc Ore', 'Tin Ore', 'Thermoplastic Resin', 'Tenon Gas']","[1600.0, 524.0, 400.0, 480.0, 408.0, 336.0, 144.0, 576.0, 1152.0, 384.0, 192.0, 96.0, 288.0]",1802.960400907716,13.0
Energy Cannon XXXS T2,SHIP_WEAPONS,2,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Zinc Ore', 'Tin Ore', 'Thermoplastic Resin', 'Tenon Gas']","[1600.0, 524.0, 400.0, 480.0, 408.0, 336.0, 144.0, 576.0, 1152.0, 384.0, 192.0, 96.0, 288.0]",1802.960400907716,13.0
Shield Generator XXS T1,SHIP_COMPONENTS,1,"['Nitrogen', 'Silica', 'Carbon', 'Hydrogen', 'Lumanite', 'Rhodium Ore', 'Ochre Ore', 'Zirconium Ore', 'Copper Ore', 'Cobalt Ore', 'Iridium Ore', 'Topaz Crystals']","[843.0, 843.0, 1780.0, 220.0, 440.0, 1600.0, 1600.0, 1600.0, 240.0, 1600.0, 1600.0, 550.0]",1730.74623903177,12.0
Energy Capacitor XXS T2,COUNTERMEASURES,2,"['Tantalum Ore', 'Tritium Ore', 'Copper Ore', 'Carbon', 'Lithium Ore', 'Hydrogen', 'Nitrogen', 'Silica', 'Osmium Ore', 'Rhenium Ore', 'Krypton', 'Xenon', 'Methane', 'Sodium Crystals', 'Lumanite']","[320.0, 320.0, 720.0, 1060.0, 640.0, 240.0, 240.0, 240.0, 400.0, 400.0, 200.0, 300.0, 300.0, 200.0, 50.0]",1730.504423600605,15.0
Energy Capacitor XXXS T2,COUNTERMEASURES,2,"['Tantalum Ore', 'Tritium Ore', 'Copper Ore', 'Carbon', 'Lithium Ore', 'Hydrogen', 'Nitrogen', 'Silica', 'Osmium Ore', 'Rhenium Ore', 'Krypton', 'Xenon', 'Methane', 'Sodium Crystals', 'Lumanite']","[320.0, 320.0, 720.0, 964.0, 640.0, 240.0, 240.0, 240.0, 400.0, 400.0, 200.0, 300.0, 300.0, 200.0, 2.0]",1730.504423600605,15.0
Warming Plates XXS T2,COUNTERMEASURES,2,"['Thermal Regulator Stone', 'Tungsten Ore', 'Radiant Dust', 'Copper Ore', 'Thermal Bloom Sediment', 'Aluminum Ore', 'Tenon Gas', 'Nitrogen', 'Silicon Crystal']","[640.0, 1224.0, 1430.0, 900.0, 750.0, 320.0, 240.0, 80.0, 480.0]",1698.428308267331,9.0
Warming Plates XXXS T2,COUNTERMEASURES,2,"['Thermal Regulator Stone', 'Tungsten Ore', 'Radiant Dust', 'Copper Ore', 'Thermal Bloom Sediment', 'Aluminum Ore', 'Tenon Gas', 'Nitrogen', 'Silicon Crystal']","[640.0, 1224.0, 1430.0, 900.0, 750.0, 320.0, 240.0, 80.0, 480.0]",1698.428308267331,9.0
Energy Beam XXXS T2,SHIP_WEAPONS,2,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Quartz Crystals', 'Silica', 'Iron Ore']","[1840.0, 644.0, 520.0, 600.0, 648.0, 120.0, 120.0, 240.0]",1602.318910741301,8.0
Energy Beam XXS T1,SHIP_WEAPONS,1,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Quartz Crystals', 'Silica', 'Iron Ore']","[1840.0, 644.0, 520.0, 600.0, 648.0, 120.0, 120.0, 240.0]",1602.318910741301,8.0
Faraday Shielding XXXS T2,COUNTERMEASURES,2,"['Copper Ore', 'Silver Ore', 'Carbon', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Zinc Ore', 'Tin Ore', 'Hydrogen', 'Nitrogen', 'Silica']","[840.0, 960.0, 720.0, 360.0, 120.0, 480.0, 240.0, 240.0, 240.0, 240.0, 240.0]",1442.0870196671708,11.0
Faraday Shielding XXS T2,COUNTERMEASURES,2,"['Copper Ore', 'Silver Ore', 'Carbon', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Zinc Ore', 'Tin Ore', 'Hydrogen', 'Nitrogen', 'Silica']","[840.0, 960.0, 720.0, 360.0, 120.0, 480.0, 240.0, 240.0, 240.0, 240.0, 240.0]",1442.0870196671708,11.0
Gray Goo Cannon XXXS T1,SHIP_WEAPONS,1,"['Copper Ore', 'Carbon', 'Hydrogen', 'Living Metal Symbionts', 'Nitrogen', 'Silica', 'Tantalum Ore', 'Neodymium', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Quantum Particle', 'Xenon', 'Methane', 'Sodium Crystals']","[840.0, 480.0, 240.0, 1000.0, 402.0, 402.0, 200.0, 200.0, 500.0, 100.0, 400.0, 1200.0, 500.0, 150.0, 150.0, 100.0]",1384.6735878971258,16.0
Gray Goo Burst XXXS T1,SHIP_WEAPONS,1,"['Copper Ore', 'Carbon', 'Hydrogen', 'Living Metal Symbionts', 'Nitrogen', 'Silica', 'Tantalum Ore', 'Neodymium', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Quantum Particle', 'Xenon', 'Methane', 'Sodium Crystals']","[840.0, 480.0, 240.0, 1000.0, 402.0, 402.0, 200.0, 200.0, 500.0, 100.0, 400.0, 1200.0, 500.0, 150.0, 150.0, 100.0]",1384.6735878971258,16.0
Superchill Rapidfire XXXS T1,SHIP_WEAPONS,1,"['Nitrogen', 'Tenon Gas', 'Aluminum Ore', 'Copper Ore', 'Thermal Bloom Sediment', 'Cryo Formation Crystals', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Silicon Crystal', 'Thermal Regulator Stone', 'Radiant Dust']","[870.0, 1710.0, 480.0, 1320.0, 720.0, 900.0, 150.0, 150.0, 600.0, 1800.0, 1060.0, 580.0, 870.0]",1311.2439279328844,13.0
Superchill Scatterfire XXXS T1,SHIP_WEAPONS,1,"['Nitrogen', 'Tenon Gas', 'Aluminum Ore', 'Copper Ore', 'Thermal Bloom Sediment', 'Cryo Formation Crystals', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Silicon Crystal', 'Thermal Regulator Stone', 'Radiant Dust']","[870.0, 1710.0, 480.0, 1320.0, 720.0, 900.0, 150.0, 150.0, 600.0, 1800.0, 1060.0, 580.0, 870.0]",1311.2439279328844,13.0
Superchill Burst XXXS T1,SHIP_WEAPONS,1,"['Nitrogen', 'Tenon Gas', 'Aluminum Ore', 'Copper Ore', 'Thermal Bloom Sediment', 'Cryo Formation Crystals', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Silicon Crystal', 'Thermal Regulator Stone', 'Radiant Dust']","[870.0, 1710.0, 480.0, 1320.0, 720.0, 900.0, 150.0, 150.0, 600.0, 1800.0, 1060.0, 580.0, 870.0]",1311.2439279328844,13.0
Superchill Beam XXXS T1,SHIP_WEAPONS,1,"['Nitrogen', 'Tenon Gas', 'Aluminum Ore', 'Copper Ore', 'Thermal Bloom Sediment', 'Cryo Formation Crystals', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Silicon Crystal', 'Thermal Regulator Stone', 'Radiant Dust']","[870.0, 1710.0, 480.0, 1320.0, 720.0, 900.0, 150.0, 150.0, 600.0, 1800.0, 1060.0, 580.0, 870.0]",1311.2439279328844,13.0
Superchill Cannon XXXS T1,SHIP_WEAPONS,1,"['Nitrogen', 'Tenon Gas', 'Aluminum Ore', 'Copper Ore', 'Thermal Bloom Sediment', 'Cryo Formation Crystals', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Silicon Crystal', 'Thermal Regulator Stone', 'Radiant Dust']","[870.0, 1710.0, 480.0, 1320.0, 720.0, 900.0, 150.0, 150.0, 600.0, 1800.0, 1060.0, 580.0, 870.0]",1311.2439279328844,13.0
Decoy XXS T2,COUNTERMEASURES,2,"['Diamond', 'Hydrogen', 'Copper Ore', 'Carbon', 'Quantum Computational Substrate', 'Living Metal Symbionts', 'Biolumite', 'Jasphorus Crystals', 'Quantum Particle', 'Abyssal Energy Crystals', 'Quartz Crystals', 'Silica', 'Lumanite', 'Fluorine Gas', 'Silicon Crystal', 'Germanium', 'Neural Coral Compounds', 'Raw Chisenic']","[816.0, 880.0, 864.0, 1372.0, 560.0, 2720.0, 720.0, 720.0, 2000.0, 560.0, 340.0, 340.0, 650.0, 150.0, 6000.0, 6000.0, 18000.0, 18000.0]",1272.429723235739,18.0
Decoy XXXS T2,COUNTERMEASURES,2,"['Diamond', 'Hydrogen', 'Copper Ore', 'Carbon', 'Quantum Computational Substrate', 'Living Metal Symbionts', 'Biolumite', 'Jasphorus Crystals', 'Quantum Particle', 'Abyssal Energy Crystals', 'Quartz Crystals', 'Silica', 'Lumanite', 'Fluorine Gas', 'Silicon Crystal', 'Germanium', 'Neural Coral Compounds', 'Raw Chisenic']","[816.0, 880.0, 864.0, 1276.0, 560.0, 2720.0, 720.0, 720.0, 2000.0, 560.0, 340.0, 340.0, 602.0, 150.0, 6000.0, 6000.0, 18000.0, 18000.0]",1272.429723235739,18.0
Photon XXXS T1,MISSILES,1,"['Diamond', 'Hydrogen', 'Copper Ore', 'Carbon', 'Lumanite', 'Ruby Crystals', 'Black Opal', 'Topaz Crystals', 'Palladium', 'Rhodium Ore', 'Iridium Ore', 'Platinum Ore', 'Abyssal Energy Crystals', 'Quantum Computational Substrate', 'Lunar Echo Crystals', 'Living Metal Symbionts', 'Quantum Particle', 'Quartz Crystals', 'Silica', 'Fluorine Gas', 'Silicon Crystal', 'Germanium', 'Neural Coral Compounds', 'Raw Chisenic', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Aluminum Ore', 'Tenon Gas', 'Nitrogen', 'Thermal Bloom Sediment', 'Fusion Catalyst Deposits', 'Plasma Containment Minerals', 'Tritium Ore', 'Neodymium', 'Thermoplastic Resin', 'Zinc Ore', 'Argon', 'Boron Ore']","[612.0, 648.0, 1364.0, 870.0, 354.0, 136.0, 600.0, 200.0, 120.0, 640.0, 640.0, 640.0, 200.0, 280.0, 340.0, 500.0, 500.0, 121.0, 121.0, 60.0, 2854.0, 2400.0, 7200.0, 7200.0, 440.0, 120.0, 480.0, 1920.0, 160.0, 300.0, 40.0, 240.0, 260.0, 200.0, 80.0, 160.0, 80.0, 160.0, 108.0, 216.0]",1268.945736709243,40.0
Photon XXS T1,MISSILES,1,"['Diamond', 'Hydrogen', 'Copper Ore', 'Carbon', 'Lumanite', 'Ruby Crystals', 'Black Opal', 'Topaz Crystals', 'Palladium', 'Rhodium Ore', 'Iridium Ore', 'Platinum Ore', 'Abyssal Energy Crystals', 'Quantum Computational Substrate', 'Lunar Echo Crystals', 'Living Metal Symbionts', 'Quantum Particle', 'Quartz Crystals', 'Silica', 'Fluorine Gas', 'Silicon Crystal', 'Germanium', 'Neural Coral Compounds', 'Raw Chisenic', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Aluminum Ore', 'Tenon Gas', 'Nitrogen', 'Thermal Bloom Sediment', 'Fusion Catalyst Deposits', 'Plasma Containment Minerals', 'Tritium Ore', 'Neodymium', 'Thermoplastic Resin', 'Zinc Ore', 'Argon', 'Boron Ore']","[612.0, 648.0, 1364.0, 870.0, 354.0, 136.0, 600.0, 200.0, 120.0, 640.0, 640.0, 640.0, 200.0, 280.0, 340.0, 500.0, 500.0, 121.0, 121.0, 60.0, 2854.0, 2400.0, 7200.0, 7200.0, 440.0, 120.0, 480.0, 1920.0, 160.0, 300.0, 40.0, 240.0, 260.0, 200.0, 80.0, 160.0, 80.0, 160.0, 108.0, 216.0]",1268.945736709243,40.0
Tractor Beam XXS T1,SHIP_COMPONENTS,1,"['Lumanite', 'Carbon', 'Hydrogen', 'Copper Ore', 'Quantum Particle', 'Iron Ore', 'Nitrogen', 'Silica']","[600.0, 1720.0, 480.0, 1120.0, 1000.0, 560.0, 564.0, 564.0]",1236.3157034795768,8.0
Kinetic Rapidfire XXXS T1,SHIP_WEAPONS,1,"['Copper Ore', 'Tin Ore', 'Zinc Ore', 'Iron Ore', 'Hafnium Ore', 'Manganese Ore', 'Vanadium Ore', 'Sapphire Crystals', 'Tantalum Ore', 'Carbon', 'Hydrogen', 'Diamond', 'Silicon Crystal', 'Titanium Ore', 'Tenon Gas', 'Abyssal Chromite']","[644.0, 320.0, 280.0, 560.0, 160.0, 640.0, 360.0, 120.0, 268.0, 54.0, 135.0, 162.0, 54.0, 480.0, 240.0, 120.0]",1236.3157034795768,16.0
Energy Cannon XXXS T3,SHIP_WEAPONS,3,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Zinc Ore', 'Tin Ore', 'Thermoplastic Resin', 'Tenon Gas']","[2400.0, 786.0, 600.0, 720.0, 612.0, 504.0, 216.0, 864.0, 1728.0, 576.0, 288.0, 144.0, 432.0]",1201.973600605144,13.0
Negative Rem Plating XXXS T2,COUNTERMEASURES,2,"['Carbon', 'Hydrogen', 'Nitrogen', 'Silica']","[3180.0, 1380.0, 1296.0, 1296.0]",1197.437851168898,4.0
Negative Rem Plating XXS T2,COUNTERMEASURES,2,"['Carbon', 'Hydrogen', 'Nitrogen', 'Silica']","[3180.0, 1380.0, 1296.0, 1296.0]",1197.437851168898,4.0
Energy Rapidfire XXXS T2,SHIP_WEAPONS,2,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Tantalum Ore', 'Silicon Crystal']","[1708.0, 794.0, 400.0, 1448.0, 732.0, 536.0, 108.0]",1195.3328624802537,7.0
Energy Rapidfire XXS T1,SHIP_WEAPONS,1,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Tantalum Ore', 'Silicon Crystal']","[1708.0, 794.0, 400.0, 1448.0, 732.0, 536.0, 108.0]",1195.3328624802537,7.0
Energy Capacitor XXS T3,COUNTERMEASURES,3,"['Tantalum Ore', 'Tritium Ore', 'Copper Ore', 'Carbon', 'Lithium Ore', 'Hydrogen', 'Nitrogen', 'Silica', 'Osmium Ore', 'Rhenium Ore', 'Krypton', 'Xenon', 'Methane', 'Sodium Crystals', 'Lumanite']","[480.0, 480.0, 1080.0, 1630.0, 960.0, 360.0, 360.0, 360.0, 600.0, 600.0, 300.0, 450.0, 450.0, 300.0, 95.0]",1153.6696157337367,15.0
Energy Capacitor XXXS T3,COUNTERMEASURES,3,"['Tantalum Ore', 'Tritium Ore', 'Copper Ore', 'Carbon', 'Lithium Ore', 'Hydrogen', 'Nitrogen', 'Silica', 'Osmium Ore', 'Rhenium Ore', 'Krypton', 'Xenon', 'Methane', 'Sodium Crystals', 'Lumanite']","[480.0, 480.0, 1080.0, 1448.0, 960.0, 360.0, 360.0, 360.0, 600.0, 600.0, 300.0, 450.0, 450.0, 300.0, 4.0]",1153.6696157337367,15.0
Energy Capacitor XS T1,COUNTERMEASURES,1,"['Tantalum Ore', 'Tritium Ore', 'Copper Ore', 'Carbon', 'Lithium Ore', 'Hydrogen', 'Nitrogen', 'Silica', 'Osmium Ore', 'Rhenium Ore', 'Krypton', 'Xenon', 'Methane', 'Sodium Crystals', 'Lumanite']","[480.0, 480.0, 1080.0, 2720.0, 960.0, 360.0, 360.0, 360.0, 600.0, 600.0, 300.0, 450.0, 450.0, 300.0, 640.0]",1153.6696157337367,15.0
Power Core XXS T1,SHIP_COMPONENTS,1,"['Fusion Catalyst Deposits', 'Plasma Containment Minerals', 'Tritium Ore', 'Titanium Ore', 'Hydrogen', 'Tenon Gas', 'Carbon', 'Lumanite', 'Tantalum Ore', 'Gold Ore', 'Opal Fragments', 'Lunar Echo Crystals', 'Phase Shift Crystals', 'Silver Ore', 'Garnet Crystals', 'Peridot Crystals', 'Copper Ore', 'Nitrogen', 'Silica']","[520.0, 400.0, 160.0, 960.0, 460.0, 360.0, 1300.0, 200.0, 120.0, 1920.0, 600.0, 600.0, 480.0, 608.0, 836.0, 836.0, 360.0, 240.0, 240.0]",1138.6488414682697,19.0
Pearce Shocktank,DRONE,5,"['Copper Ore', 'Tantalum Ore', 'Viscovite Crystals', 'Cinnabar Crystals', 'Neural Coral Compounds', 'Quartz Crystals', 'Silica', 'Fluorine Gas', 'Silicon Crystal', 'Germanium', 'Raw Chisenic', 'Quantum Computational Substrate', 'Lunar Echo Crystals', 'Black Opal', 'Carbon', 'Hydrogen', 'Lumanite', 'Diamond', 'Gold Ore', 'Opal Fragments', 'Phase Shift Crystals', 'Silver Ore', 'Garnet Crystals', 'Peridot Crystals', 'Tritium Ore', 'Lithium Ore', 'Nitrogen']","[1260.0, 580.0, 304.0, 304.0, 13984.0, 76.0, 316.0, 114.0, 4560.0, 4560.0, 13680.0, 420.0, 1110.0, 510.0, 2320.0, 764.0, 400.0, 408.0, 1920.0, 600.0, 480.0, 608.0, 836.0, 836.0, 160.0, 320.0, 240.0]",1138.6488414682697,27.0
Warming Plates XXS T3,COUNTERMEASURES,3,"['Thermal Regulator Stone', 'Tungsten Ore', 'Radiant Dust', 'Copper Ore', 'Thermal Bloom Sediment', 'Aluminum Ore', 'Tenon Gas', 'Nitrogen', 'Silicon Crystal']","[960.0, 1836.0, 2145.0, 1350.0, 1125.0, 480.0, 360.0, 120.0, 720.0]",1132.2855388448872,9.0
Warming Plates XXXS T3,COUNTERMEASURES,3,"['Thermal Regulator Stone', 'Tungsten Ore', 'Radiant Dust', 'Copper Ore', 'Thermal Bloom Sediment', 'Aluminum Ore', 'Tenon Gas', 'Nitrogen', 'Silicon Crystal']","[960.0, 1836.0, 2145.0, 1350.0, 1125.0, 480.0, 360.0, 120.0, 720.0]",1132.2855388448872,9.0
Warming Plates XS T1,COUNTERMEASURES,1,"['Thermal Regulator Stone', 'Tungsten Ore', 'Radiant Dust', 'Copper Ore', 'Thermal Bloom Sediment', 'Aluminum Ore', 'Tenon Gas', 'Nitrogen', 'Silicon Crystal']","[960.0, 1836.0, 2280.0, 1560.0, 1500.0, 640.0, 480.0, 160.0, 720.0]",1109.5140928662868,9.0
Superchill XXXS T1,MISSILES,1,"['Nitrogen', 'Tenon Gas', 'Aluminum Ore', 'Copper Ore', 'Thermal Bloom Sediment', 'Cryo Formation Crystals', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Silicon Crystal', 'Thermal Regulator Stone', 'Radiant Dust', 'Black Opal', 'Topaz Crystals', 'Palladium', 'Rhodium Ore', 'Iridium Ore', 'Platinum Ore', 'Abyssal Energy Crystals', 'Quantum Computational Substrate', 'Lunar Echo Crystals', 'Living Metal Symbionts', 'Quantum Particle', 'Quartz Crystals', 'Silica', 'Fluorine Gas', 'Germanium', 'Neural Coral Compounds', 'Raw Chisenic', 'Fusion Catalyst Deposits', 'Plasma Containment Minerals', 'Tritium Ore', 'Hydrogen', 'Carbon', 'Lumanite', 'Neodymium', 'Thermoplastic Resin', 'Zinc Ore', 'Argon', 'Boron Ore']","[330.0, 870.0, 320.0, 1468.0, 480.0, 300.0, 490.0, 170.0, 680.0, 2520.0, 3094.0, 120.0, 180.0, 600.0, 200.0, 120.0, 640.0, 640.0, 640.0, 200.0, 280.0, 340.0, 500.0, 500.0, 121.0, 121.0, 60.0, 2400.0, 7200.0, 7200.0, 260.0, 200.0, 80.0, 164.0, 404.0, 220.0, 160.0, 80.0, 160.0, 108.0, 216.0]",1099.9345234493192,41.0
Superchill XXS T1,MISSILES,1,"['Nitrogen', 'Tenon Gas', 'Aluminum Ore', 'Copper Ore', 'Thermal Bloom Sediment', 'Cryo Formation Crystals', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Silicon Crystal', 'Thermal Regulator Stone', 'Radiant Dust', 'Black Opal', 'Topaz Crystals', 'Palladium', 'Rhodium Ore', 'Iridium Ore', 'Platinum Ore', 'Abyssal Energy Crystals', 'Quantum Computational Substrate', 'Lunar Echo Crystals', 'Living Metal Symbionts', 'Quantum Particle', 'Quartz Crystals', 'Silica', 'Fluorine Gas', 'Germanium', 'Neural Coral Compounds', 'Raw Chisenic', 'Fusion Catalyst Deposits', 'Plasma Containment Minerals', 'Tritium Ore', 'Hydrogen', 'Carbon', 'Lumanite', 'Neodymium', 'Thermoplastic Resin', 'Zinc Ore', 'Argon', 'Boron Ore']","[330.0, 870.0, 320.0, 1468.0, 480.0, 300.0, 490.0, 170.0, 680.0, 2520.0, 3094.0, 120.0, 180.0, 600.0, 200.0, 120.0, 640.0, 640.0, 640.0, 200.0, 280.0, 340.0, 500.0, 500.0, 121.0, 121.0, 60.0, 2400.0, 7200.0, 7200.0, 260.0, 200.0, 80.0, 164.0, 404.0, 220.0, 160.0, 80.0, 160.0, 108.0, 216.0]",1099.9345234493192,41.0
